Sample;Fineness
IMG_6127.png;43,5
IMG_6035.png;28,8
IMG_6036.png;28,8
IMG_6037.png;28,8
IMG_6038.png;28,8
IMG_6224.png;35,5
IMG_6225.png;35,5
IMG_6226.png;35,5
IMG_6227.png;35,5
IMG_5769.png;26,3
IMG_5770.png;26,3
IMG_5771.png;26,3
IMG_5772.png;26,3
IMG_6264.png;56,4
IMG_6265.png;56,4
IMG_6266.png;56,4
IMG_6267.png;56,4
IMG_5906.png;35,3
IMG_5907.png;35,3
IMG_5908.png;35,3
IMG_5909.png;35,3
IMG_6160.png;19,4
IMG_6161.png;19,4
IMG_6162.png;19,4
IMG_6163.png;19,4
IMG_5950.png;47
IMG_5952.png;47
IMG_5953.png;47
IMG_6399.png;60,6
IMG_6400.png;60,6
IMG_6401.png;60,6
IMG_6402.png;60,6
IMG_5955.png;30,3
IMG_5957.png;30,3
IMG_5822.png;14,8
IMG_5823.png;14,8
IMG_5824.png;14,8
IMG_5825.png;14,8
IMG_5996.png;76,7
IMG_5997.png;76,7
IMG_5998.png;76,7
IMG_5810.png;32,8
IMG_5811.png;32,8
IMG_5812.png;32,8
IMG_5813.png;32,8
IMG_5986.png;23,7
IMG_5987.png;23,7
IMG_5988.png;23,7
IMG_5989.png;23,7
IMG_6196.png;42,9
IMG_6197.png;42,9
IMG_6198.png;42,9
